Timestamp,IP,Port,SlaveID,Register,Value
2026-05-16 16:44:47,192.168.0.107,502,1,1538,0.00
2026-05-16 16:44:48,192.168.0.107,502,1,1538,0.00
2026-05-16 16:44:49,192.168.0.107,502,1,1538,0.00
2026-05-16 16:44:50,192.168.0.107,502,1,1538,0.00
2026-05-16 16:44:51,192.168.0.107,502,1,1538,0.00
2026-05-16 16:44:52,192.168.0.107,502,1,1538,0.00
2026-05-16 16:44:53,192.168.0.107,502,1,1538,0.00
2026-05-16 16:44:54,192.168.0.107,502,1,1538,0.00
2026-05-16 16:44:55,192.168.0.107,502,1,1538,0.00
2026-05-16 16:44:57,192.168.0.107,502,1,1538,0.00
2026-05-16 16:44:58,192.168.0.107,502,1,1538,0.00
2026-05-16 16:44:59,192.168.0.107,502,1,1538,0.00
2026-05-16 16:45:00,192.168.0.107,502,1,1538,0.00
2026-05-16 16:45:01,192.168.0.107,502,1,1538,0.00
2026-05-16 16:45:02,192.168.0.107,502,1,1538,0.00
2026-05-16 16:45:03,192.168.0.107,502,1,1538,0.00
2026-05-16 16:45:04,192.168.0.107,502,1,1538,0.00
2026-05-16 16:45:06,192.168.0.107,502,1,1538,0.00
2026-05-16 16:45:07,192.168.0.107,502,1,1538,0.00
2026-05-16 16:45:08,192.168.0.107,502,1,1538,0.00
2026-05-16 16:45:09,192.168.0.107,502,1,1538,0.00
2026-05-16 16:45:10,192.168.0.107,502,1,1538,0.00
2026-05-16 16:45:11,192.168.0.107,502,1,1538,0.00
2026-05-16 16:45:12,192.168.0.107,502,1,1538,0.00
2026-05-16 16:45:13,192.168.0.107,502,1,1538,0.00
2026-05-16 16:45:14,192.168.0.107,502,1,1538,0.00
2026-05-16 16:45:16,192.168.0.107,502,1,1538,0.00
2026-05-16 16:45:17,192.168.0.107,502,1,1538,0.00
2026-05-16 16:45:18,192.168.0.107,502,1,1538,0.00
2026-05-16 16:45:19,192.168.0.107,502,1,1538,0.00
2026-05-16 16:45:20,192.168.0.107,502,1,1538,0.00
2026-05-16 16:45:21,192.168.0.107,502,1,1538,0.00
2026-05-16 16:45:22,192.168.0.107,502,1,1538,0.00
2026-05-16 16:45:24,192.168.0.107,502,1,1538,0.00
2026-05-16 16:45:25,192.168.0.107,502,1,1538,0.00
2026-05-16 16:45:26,192.168.0.107,502,1,1538,0.00
2026-05-16 16:45:27,192.168.0.107,502,1,1538,0.00
2026-05-16 16:45:28,192.168.0.107,502,1,1538,0.00
2026-05-16 16:45:30,192.168.0.107,502,1,1538,0.00
2026-05-16 16:45:31,192.168.0.107,502,1,1538,0.00
2026-05-16 16:45:32,192.168.0.107,502,1,1538,0.00
2026-05-16 16:45:33,192.168.0.107,502,1,1538,0.00
2026-05-16 16:45:34,192.168.0.107,502,1,1538,0.00
2026-05-16 16:45:35,192.168.0.107,502,1,1538,0.00
2026-05-16 16:45:36,192.168.0.107,502,1,1538,0.00
2026-05-16 16:45:37,192.168.0.107,502,1,1538,0.00
2026-05-16 16:45:38,192.168.0.107,502,1,1538,0.00
2026-05-16 16:45:41,192.168.0.107,502,1,31538,0.00
2026-05-16 16:45:42,192.168.0.107,502,1,1538,0.00
2026-05-16 16:45:44,192.168.0.107,502,1,1538,0.00
2026-05-16 16:45:45,192.168.0.107,502,1,1538,0.00
2026-05-16 16:45:46,192.168.0.107,502,1,1538,0.00
2026-05-16 16:45:47,192.168.0.107,502,1,1538,0.00
2026-05-16 16:45:48,192.168.0.107,502,1,1538,0.00
2026-05-16 16:45:49,192.168.0.107,502,1,1538,0.00
2026-05-16 16:45:50,192.168.0.107,502,1,1538,0.00
2026-05-16 16:45:51,192.168.0.107,502,1,1538,0.00
2026-05-16 16:45:53,192.168.0.107,502,1,1538,0.00
2026-05-16 16:45:54,192.168.0.107,502,1,1538,0.00
